,Home Team,Home Score,Away Team,Away Score,HomeAway Bool
407,Mississippi,30,Arkansas,27,0
408,Auburn,21,Texas A&M,63,1
409,South Carolina,38,Tennessee,35,1
410,San Diego St,24,UNLV,13,1
411,Alabama,38,Mississippi St,7,1
412,SMU,44,Memphis,13,1
413,Arizona,39,USC,36,1
414,Arizona St,43,UCLA,45,1
415,New Mexico,32,Fresno St,49,1
416,ULM,38,South Alabama,24,1
417,North Carolina,43,NC State,35,1
418,Northwestern,28,Iowa,17,1
419,Oklahoma St,36,TCU,14,1
420,Oklahoma,13,Notre Dame,30,1
421,Oregon,70,Colorado,14,1
422,Rice,44,Southern Miss,17,1
423,Pittsburgh,47,Temple,17,1
424,Florida Intl,6,WKU,14,1
425,FL Atlantic,34,Troy,27,1
426,Missouri,33,Kentucky,10,1
427,Minnesota,44,Purdue,28,1
428,MTSU,38,North Texas,21,1
429,Marshall,17,UCF,54,1
430,Miami OH,23,Ohio,20,1
431,Vanderbilt,49,Massachusetts,7,1
432,Utah,49,California,27,1
433,Washington,20,Oregon St,17,1
434,W Michigan,34,N Illinois,48,1
435,Kansas,17,Texas,21,1
436,Iowa St,35,Baylor,21,1
437,Houston,45,UTEP,35,1
438,Illinois,17,Indiana,31,1
439,Stanford,24,Washington St,17,1
440,Kansas St,55,Texas Tech,24,1
441,Georgia Tech,17,BYU,41,1
442,Georgia,17,Florida,9,0
443,Army,22,Ball St,30,1
444,UT San Antonio,17,Utah St,48,1
445,Rutgers,23,Kent,35,1
446,Wyoming,14,Boise St,45,1
447,San Jose St,31,Texas St,20,1
448,Penn St,23,Ohio St,35,1
449,New Mexico St,14,Louisiana Tech,28,1
450,Nebraska,23,Michigan,9,1
451,South Florida,36,Syracuse,37,1
452,Miami FL,30,Virginia Tech,12,1
453,Ohio,45,E Michigan,14,1
454,WKU,29,MTSU,34,1
455,California,13,Washington,21,1
456,Baylor,41,Kansas,14,1
457,Wyoming,45,Colorado St,31,1
458,Duke,20,Clemson,56,1
459,East Carolina,48,Houston,28,1
460,Fresno St,45,Hawaii,10,1
461,Florida,14,Missouri,7,1
462,Colorado,0,Stanford,48,1
463,C Michigan,31,W Michigan,42,1
464,Cincinnati,35,Syracuse,24,1
